PERMNO,date,TICKER,COMNAM,PRC,CFACPR
10107,20010420,MSFT,MICROSOFT CORP,69,2
10107,20010423,MSFT,MICROSOFT CORP,68.25,2
10107,20010424,MSFT,MICROSOFT CORP,67.55,2
10107,20010425,MSFT,MICROSOFT CORP,69.69,2
10107,20010426,MSFT,MICROSOFT CORP,69.13,2
10107,20010427,MSFT,MICROSOFT CORP,67.12,2
10107,20010430,MSFT,MICROSOFT CORP,67.75,2
10107,20010501,MSFT,MICROSOFT CORP,70.17,2
10107,20010502,MSFT,MICROSOFT CORP,69.76,2
10107,20010503,MSFT,MICROSOFT CORP,68.53,2
10107,20010504,MSFT,MICROSOFT CORP,70.75,2
10107,20010507,MSFT,MICROSOFT CORP,71.38,2
10107,20010508,MSFT,MICROSOFT CORP,72.06,2
10107,20010509,MSFT,MICROSOFT CORP,70.4,2
10107,20010510,MSFT,MICROSOFT CORP,70,2
10107,20010511,MSFT,MICROSOFT CORP,69.4,2
10107,20010514,MSFT,MICROSOFT CORP,68.72,2
10107,20010515,MSFT,MICROSOFT CORP,68.27,2
10107,20010516,MSFT,MICROSOFT CORP,69.16,2
10107,20010517,MSFT,MICROSOFT CORP,68.1698,2
10107,20010518,MSFT,MICROSOFT CORP,68.09,2
10107,20010521,MSFT,MICROSOFT CORP,68.79,2
10107,20010522,MSFT,MICROSOFT CORP,70.31,2
10107,20010523,MSFT,MICROSOFT CORP,69.7,2
10107,20010524,MSFT,MICROSOFT CORP,71.72,2
10107,20010525,MSFT,MICROSOFT CORP,70.91,2
10107,20010529,MSFT,MICROSOFT CORP,70.34,2
10107,20010530,MSFT,MICROSOFT CORP,69.19,2
10107,20010531,MSFT,MICROSOFT CORP,69.18,2
10107,20010601,MSFT,MICROSOFT CORP,70.34,2
10107,20010604,MSFT,MICROSOFT CORP,70.78,2
10107,20010605,MSFT,MICROSOFT CORP,72.6,2
10107,20010606,MSFT,MICROSOFT CORP,72.36,2
10107,20010607,MSFT,MICROSOFT CORP,73.68,2
10107,20010608,MSFT,MICROSOFT CORP,73.19,2
10107,20010611,MSFT,MICROSOFT CORP,72.12,2
10107,20010612,MSFT,MICROSOFT CORP,72.08,2
10107,20010613,MSFT,MICROSOFT CORP,70.69,2
10107,20010614,MSFT,MICROSOFT CORP,68.9,2
10107,20010615,MSFT,MICROSOFT CORP,68.02,2
10107,20010618,MSFT,MICROSOFT CORP,66.88,2
10107,20010619,MSFT,MICROSOFT CORP,67.32,2
10107,20010620,MSFT,MICROSOFT CORP,69.41,2
10107,20010621,MSFT,MICROSOFT CORP,69.84,2
10107,20010622,MSFT,MICROSOFT CORP,68.83,2
10107,20010625,MSFT,MICROSOFT CORP,68.85,2
10107,20010626,MSFT,MICROSOFT CORP,70.14,2
10107,20010627,MSFT,MICROSOFT CORP,71.14,2
10107,20010628,MSFT,MICROSOFT CORP,72.74,2
10107,20010629,MSFT,MICROSOFT CORP,73,2
10107,20010702,MSFT,MICROSOFT CORP,70.6,2
10107,20010703,MSFT,MICROSOFT CORP,70.47,2
10107,20010705,MSFT,MICROSOFT CORP,68.51,2
10107,20010706,MSFT,MICROSOFT CORP,66.06,2
10107,20010709,MSFT,MICROSOFT CORP,65.69,2
